项目ID,项目名称,日期,时间,地点,轮次
10001,高一男子组 100米 预赛,2024-10-15,09:30,田径场,预赛
10002,高一女子组 100米 预赛,2024-10-15,09:42,田径场,预赛
10003,高二男子组 100米 预赛,2024-10-15,09:50,田径场,预赛
10004,高二女子组 100米 预赛,2024-10-15,09:58,田径场,预赛
10005,高三男子组 100米 预赛,2024-10-15,10:04,田径场,预赛
10006,高三女子组 100米 预赛,2024-10-15,10:10,田径场,预赛
10007,高一男子组 400米 预决赛,2024-10-15,10:14,田径场,预决赛
10008,高一女子组 400米 预决赛,2024-10-15,10:34,田径场,预决赛
10009,高二男子组 400米 预决赛,2024-10-15,10:42,田径场,预决赛
10010,高二女子组 400米 预决赛,2024-10-15,10:50,田径场,预决赛
10011,高三男子组 400米 预决赛,2024-10-15,10:54,田径场,预决赛
10012,高三女子组 400米 预决赛,2024-10-15,11:06,田径场,预决赛
10101,高一男子组 跳高 预决赛,2024-10-15,09:30,田径场,预决赛
10102,高三女子组 跳远 预决赛,2024-10-15,09:30,田径场,预决赛
10103,高二男子组 三级跳远 预决赛,2024-10-15,10:00,田径场,预决赛
10104,高三男子组 三级跳远 预决赛,2024-10-15,10:30,田径场,预决赛
10105,高一女子组 铅球 预决赛,2024-10-15,09:30,田径场,预决赛
11001,高一男子组 100米 决赛,2024-10-15,14:30,田径场,决赛
11002,高一女子组 100米 决赛,2024-10-15,14:32,田径场,决赛
11003,高二男子组 100米 决赛,2024-10-15,14:34,田径场,决赛
11004,高二女子组 100米 决赛,2024-10-15,14:36,田径场,决赛
11005,高三男子组 100米 决赛,2024-10-15,14:38,田径场,决赛
11006,高三女子组 100米 决赛,2024-10-15,14:40,田径场,决赛
11007,高一男子组 1500米 预决赛,2024-10-15,14:42,田径场,预决赛
11008,高一女子组 1500米 预决赛,2024-10-15,14:51,田径场,预决赛
11009,高二男子组 1500米 预决赛,2024-10-15,15:00,田径场,预决赛
11010,高二女子组 1500米 预决赛,2024-10-15,15:09,田径场,预决赛
11011,高三男子组 1500米 预决赛,2024-10-15,15:18,田径场,预决赛
11012,高三女子组 1500米 预决赛,2024-10-15,15:27,田径场,预决赛
11101,高二男子组 跳高 预决赛,2024-10-15,14:30,田径场,预决赛
11102,高二女子组 跳高 预决赛,2024-10-15,15:20,田径场,预决赛
11103,高二女子组 铅球 预决赛,2024-10-15,14:30,田径场,预决赛
11104,高三男子组 铅球 预决赛,2024-10-15,15:20,田径场,预决赛
11105,高一男子组 跳远 预决赛,2024-10-15,14:30,田径场,预决赛
11106,高一女子组 跳远 预决赛,2024-10-15,15:10,田径场,预决赛
11107,高三女子组 三级跳远 预决赛,2024-10-15,15:40,田径场,预决赛
11108,高二女子组 三级跳远 预决赛,2024-10-15,16:10,田径场,预决赛
20001,高一男子组 100米 预赛,2024-10-16,09:30,田径场,预赛
20002,高一女子组 100米 预赛,2024-10-16,09:42,田径场,预赛
20003,高二男子组 100米 预赛,2024-10-16,09:50,田径场,预赛
20004,高二女子组 100米 预赛,2024-10-16,09:58,田径场,预赛
20005,高三男子组 100米 预赛,2024-10-16,10:04,田径场,预赛
20006,高三女子组 100米 预赛,2024-10-16,10:10,田径场,预赛
20007,高一男子组 400米 预决赛,2024-10-16,10:14,田径场,预决赛
20008,高一女子组 400米 预决赛,2024-10-16,10:34,田径场,预决赛
20009,高二男子组 400米 预决赛,2024-10-16,10:42,田径场,预决赛
20010,高二女子组 400米 预决赛,2024-10-16,10:50,田径场,预决赛
20011,高三男子组 400米 预决赛,2024-10-16,10:54,田径场,预决赛
20012,高三女子组 400米 预决赛,2024-10-16,11:06,田径场,预决赛
20019,高一男子组 100米 决赛,2024-10-16,14:30,田径场,决赛
20020,高一女子组 100米 决赛,2024-10-16,14:32,田径场,决赛
20021,高二男子组 100米 决赛,2024-10-16,14:34,田径场,决赛
21001,高二男子组 跳高 预决赛,2024-10-16,14:30,田径场,预决赛
21002,高二女子组 跳高 预决赛,2024-10-16,15:20,田径场,预决赛
21003,高二女子组 铅球 预决赛,2024-10-16,14:30,田径场,预决赛
21004,高三男子组 铅球 预决赛,2024-10-16,15:20,田径场,预决赛
21005,高一男子组 跳远 预决赛,2024-10-16,14:30,田径场,预决赛
21006,高一女子组 跳远 预决赛,2024-10-16,15:10,田径场,预决赛
21101,高三女子组 三级跳远 预决赛,2024-10-16,15:40,田径场,预决赛
21102,高二女子组 三级跳远 预决赛,2024-10-16,16:10,田径场,预决赛
21103,高三男子组 三级跳远 预决赛,2024-10-16,16:30,田径场,预决赛
