年级,项目名称,类型,参赛人数,时间
高一,男子组 100米 预赛,径赛,36,09:30
高一,女子组 100米 预赛,径赛,36,09:42
高二,男子组 100米 预赛,径赛,36,09:50
高二,女子组 100米 预赛,径赛,36,09:58
高三,男子组 100米 预赛,径赛,36,10:04
高三,女子组 100米 预赛,径赛,36,10:10
高一,男子组 400米 预决赛,径赛,36,10:14
高一,女子组 400米 预决赛,径赛,36,10:34
高二,男子组 400米 预决赛,径赛,36,10:42
高二,女子组 400米 预决赛,径赛,36,10:50
高三,男子组 400米 预决赛,径赛,36,10:54
高三,女子组 400米 预决赛,径赛,36,11:06
高一,男子组 100米 决赛,径赛,24,14:30
高一,女子组 100米 决赛,径赛,24,14:32
高二,男子组 100米 决赛,径赛,24,14:34
高二,女子组 100米 决赛,径赛,24,14:36
高三,男子组 100米 决赛,径赛,24,14:38
高三,女子组 100米 决赛,径赛,24,14:40
高一,男子组 1500米 预决赛,径赛,36,14:42
高一,女子组 1500米 预决赛,径赛,24,14:51
高二,男子组 1500米 预决赛,径赛,36,15:00
高二,女子组 1500米 预决赛,径赛,24,15:09
高三,男子组 1500米 预决赛,径赛,36,15:18
高三,女子组 1500米 预决赛,径赛,24,15:27
高一,男子组 跳高 预决赛,田赛,24,09:30
高三,女子组 跳远 预决赛,田赛,24,09:30
高二,男子组 三级跳远 预决赛,田赛,24,10:00
高三,男子组 三级跳远 预决赛,田赛,24,10:30
高一,女子组 铅球 预决赛,田赛,24,09:30
高二,男子组 跳高 预决赛,田赛,24,14:30
高二,女子组 跳高 预决赛,田赛,24,15:20
高二,女子组 铅球 预决赛,田赛,24,14:30
高三,男子组 铅球 预决赛,田赛,24,15:20
高一,男子组 跳远 预决赛,田赛,24,14:30
高一,女子组 跳远 预决赛,田赛,24,15:10
高三,女子组 三级跳远 预决赛,田赛,24,15:40
高二,女子组 三级跳远 预决赛,田赛,24,16:10
